Link,Name,Primary_Detail,Contract,Skills
https://www.linkedin.com/jobs/view/3909770992/?alternateChannel=search&refId=NotAvailable&trackingId=AAP22Ln6QNur%2Ft4VPXJ1CA%3D%3D&trk=d_flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Interface Designer, India
              



 




    Set alert",,,"Creative Ideation, Design Thinking, Figma (Software), Grid Systems, Interaction Design, Problem Solving, Prototyping, User Interface Design, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3656594736/?eBP=CwEAAAGPrKx9TCuyGI33SZuaKIR92DXyyHWeVxCuxl_5aLW_EVPAcve4TzKC-mrM6kjxxfzlwK1ERttrZS_4S_iEO4ySRESITMFh8RoxfHJwD2VR-Zf2sGF2N_i1rvp1dkjNCbG3zgNpUNemzfbHqptfBJHF6ZgG12gU17rbuCDKYsPspc5g9PcFCUpHiALUgFwJHPUWsrXuuriV2nJ12C0hYI_NL8QovaMV9Kzf3XAZUoA8zLBRmkZPxj_UTaLg5J2kyDf1bUZ7gQAodooYqmuoYrzyh5u5GwnQ0NV1E1vPqGYAvfQ2Xc5-0J7I50Ned5S7pw9dSjlHZ9Qaz9XPMhwyL375sIQ8mp0MUmcqkI3bUM5x-e00gBd6O2a1kcWebFXThipFpacpUfu4k2-7s8G-ugGYY241DOsAFGAeJiAvg8ZvINrekOaGiqVOXfc85s2k0pajj0O9y6Iuyb6Q8O6w&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=k0hl1yBAfo2h1PhJbndHZw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Interface Designer, Gurugram, Haryana, India
              



 




    Set alert",,,"Adobe XD, Attention to Detail, Front-End Development, Mockups, User Experience (UX), User Interface Design, User Research, User Stories, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3926670556/?eBP=CwEAAAGPrKx9TEw8Ynd8Ck6sdi8nHQ1AFH9hrW9xF9wlpxIEcG6GI6x4iQieNgCDRY3333u1n8RTYe_QJ03kdp8rKAtcJxaquKDWF3PpkZgC0kchoyVBQt4-qTC9dBmTzWo6kU96OHrnjjsZ3LsYlzbjs7fzguFl25sCk2-OCNlCbgmPSZr548rBP7qda7tIilYHMe2s-sPCPnf7rsRcEFXhUFr7vx9Gll9GHpAeKs5B--SX24tRla6IC-rQOXFsB44arKsRIFQfUfPefjZGv6OQtgBRedcxo7bLthFy14SmWp8A1YQQZ3qQZc04OzbVEWONexiYXVtmToJRBzX_VtOAn_1tHQi98XUX3Ok6YYyvl4Y-Xooy98BsU6c1kVUr3VDvl0zZsgPw7j06VXMLFaEXfZ0NPH_bT7Z4jIRoqTfd8fP8FyVXpCp30UnJTB8DLg&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=ehJFCn5yNlXnGuxYMAbILQ%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Experience Designer, Gurugram, Haryana, India
              



 




    Set alert",,,"Adobe InDesign, E-Commerce, Graphic Design, User Experience (UX), User Interface Design, Visual Design ,"
https://www.linkedin.com/jobs/view/3917305242/?eBP=CwEAAAGPrKx9TLzo4ymOsGxgDcFS2WEtHob5jX85WlnvzhWQZGp24uX6sMMtgGDUJO4J5wk1sF4GYY_F0whU1P7NsYRe4ODFA7xM-1sUTuwb7NJ5SOu7NjIVDggES8Yf9Ewrtq_Vn-0VEyV9gJqDmKslF6rAGBghJgp9lWnW2xbwMDREkEPNazsNfYCOqbQ703vcXq7kLjvseS1mfulb2gNJSxGMRR0tN8yP-dmQYaxNUlx_ugXJjEilkG94FttvQpFl7s8hhZySOhFLxN4t0_osBdJzQeEKRLseVj8RsZUPMJ6gsG6xRej6bJ5z3uNCrk5RfxlB1rkHw3U1FVOpRybG5gigsxhOT9xhKKh7l7mVw8VplQu1BpdO0JHihLFFCeyRVmyNfb0i6B3KowAxIv_zuDNRwpgsmWkb_7TR5lSF-uYpda3TPKcRZdoBR2FWY7yZxY_T6lD17MBsang&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=fNDTdZF%2Fi8HPxih3%2FhaBYQ%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Gautam Buddha Nagar, Uttar Pradesh, India
              



 




    Set alert",,,"Analytical Skills, Computer Science, English, Problem Solving, Spoken English, User Experience (UX), User Interface Design, User Requirements, Wireframing, Working Experience ,"
https://www.linkedin.com/jobs/view/3893621525/?eBP=CwEAAAGPrKx9TMairTz-bbbq-vBoHoeQoYBD3D8U8Bo7kRM-WCX3Tq2m0Yx3Fgr0X_CkQCq-kxCaRnWfN1xcXgw0qrLSDmLmfegr7JgXncrsRTneiOYvJaUth9V8Wg4Yw-s7_80wOcaMTAgTWMjFhELUI1_L244T3XX-zSVomH4JTancKIMfYCqC3G9GgMYoolnm0NuUzym9LA_J9AwjqDmUQbYP3PgGhtsdUZR8cT2FHv7PKBO4pdFDfyuZ5NYdb5qmYz2pM94DDrLx3xUvWoT0Mp7Tcb_sv3GH9J-EWSAx9_tkHJgl04dc2C-FGJ65AHS4KiLlq_XVnTCiu0MljHYp9RUCcqUex7AhNgKzsJAJQzLKpG5giYM95CUjrOj7I70yUpNCvbLLyzqblkjpS2HCMP_Drp3zIeneaabc5rzJgeG2P8tJwR8We4PMAo6N3bf8N1GAUcShfS5I3B84nGbyQ7dw5g&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=CVrx0LDVtYB4l2bOTYHDKg%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Interface Designer, Gurgaon, Haryana, India
              



 




    Set alert",,,"Flow Diagrams, Site Maps, Storyboarding, Typography, UX Research, User Experience (UX), User Experience Design (UED), User Interface Design, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3915843693/?eBP=CwEAAAGPrKx9TG_yLnrzeOhM5KsKal8XVbMIkIulylIMHL9J2uGGMkcveylbt0hSWhIOtzaChG01haUaIOkNKwzJ-bRc0w_yJVdw9q9yUHBbuqmxsmjwpIGr7KJ1vtgXRaupCkMKItlVtVPO8n-Kk6lLRxZaw2RPfyyVNzv84W5hDTqmc8-rMxS6CEdvIHbG-c8EWYWIavrXbOmFPkyq3cwAMBamFH0dUzRFfusCQE21J4CYNjQrLGrlocpNP_E1n1Ts156ZEbgMOVCUl3JxLIg4so0sVrshtubf8DA6bL_crSVpwmI2-BEAeHE_j-3zlSOxFXk6KaZHonS3Oc94MQrjs6Ztxdf-4a7VWhuQy0fWRn0bKcO0sH0sBUjQjHJ7HoFsIAjORa3F5fLZ2DSjjKw0uC-5Y97WUBNeGd675Dtv4kNikMoWuzHlkjJ3ied03dKmmxYrRNYKI7UAYXHBYGFF&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=AHPt97R32h%2FD6UjujyDC9A%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Experience Designer, Delhi, India
              



 




    Set alert",,,"Interaction Design, Mobile Applications, Style Guides, Technical Discussions, Usability Testing, User Experience (UX), User Experience Design (UED), User Flows, User Interface Design, Web Design ,"
https://www.linkedin.com/jobs/view/3761413430/?eBP=CwEAAAGPrKx9TL4juQyhI8IUwZqyo0hQf_EYNsp72bzuSP-By_tR9goUsEXPP-AuLVcLlqqDVvcuHJKDyAJMBL6IH3LYnzytSVDf023w1n84zWWM0wZ8yywgSlTBgvRJzmT19ZQZglyYxoLinRLAy5oYhPZ_u95WqQaOXnElt0x29BSjmrFCYarv_X1BbKSGYT3E4xRG-ohbGIOKWQ9Arhu2vxJzRPTDsNqJoUl0e-_UkjwLA53wgN4w2P2bW1IXPfAHwB7AYWB2_E_f-ksbYkNEWWu0n3B7d0YLdteg0mOI2s9K1wyY0qbPGfDizxl1A8qShXnHHKFekISrZHILPvPJOpkhIjkVqCh1rmgLv2lSnKRmB2pS1IoJbr0yYTmTtBpZYkjxCnmEsNWp6vajFIF6xAvU_tGUClkK0jH-laU&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=1wH%2F3FrbDQQ0DaN1YKs56w%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Senior Product Designer, Gurgaon, Haryana, India
              



 




    Set alert",,,"Information Architecture, Interaction Design, Mobile Design, Product Testing, Usability, User Experience (UX), User Flows, User Interface Design, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3752497281/?eBP=CwEAAAGPrKx9TAZgzjDGPhOOm4_b2hQ-6t6taJj5XS8Y1SgkBUck6j7vvJgezwwzdnRAYW9yhgYQZSaBnMqApw-F0RSJPnVhxOsF-JsNYZo3W1YCtE7aJuWl9dGaHrjxY5IUGkEZwkW5jB1L0_Eq2hhufVZ8vGPRRLUTGtNvEK71tGkIHeEhWSeoOYNbuMnGaP4KmYazmaH8YUVSFfzhX5IM0JAlR1rI7R1ZRYtleAZRSY52iFIwQ0ct3zW_zzzZUu8PugPgjYOsbd0gWM5WEQDvG327uJ1n31pxmsy0LXICARu7gwhviIoXYYxd7RDjc3AvPqmGaKreQ8Jy14t6c2TPeh1lvyWAplPYQx27wjzCfMzUyqhJTNEiCP3i_2DmP6iXtHp5yEfKSpjztEvdo3uqmCdOrbmULP3DtDbOlTABXT6zct4bN0F9M4EP6_pJpb6Xw5mKoG8SWiKFJxtPZtZ5e629R9Gk_nU&refId=TtoPTqmCuuzP407fAdou4A%3D%3D&trackingId=XtvUT8F6LF%2BbG%2BwMg3KqDA%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Interface Designer, Gurugram, Haryana, India
              



 




    Set alert",,,"Adobe XD, Communication, Design Thinking, Usability, Usability Testing, User Experience (UX), User Experience Design (UED), User Interface Design, Web Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3909037159/?eBP=CwEAAAGPrKyeR11IiW5ChJUTHMcgfmQvN_0MNx90Gk_T5zHaxWGxP1uWbmdvolGGjM4bJTUY0NFt_5pj9JiCnPkS99baGJsEMwWdVdjbVqQf_GFNHctvpH3iDq4UuYVoaeEJI7n6IAD1kxBoFfEtFeGD06q9hBpbUEjeVqYDmUo95MLPp8nD9BHaxxAV-hw-6hqVrkA12gLv4_SZKJNLecDNU5ToF_7H8_m8ULMF611N7bYaZzUYxriEA4qQMai2vHA4V1AeQHpoI_0e20KfFAlCN21xZ4XF6_6DOIzvP-sWXtMTotLTyEIzu-P-LMbVvkM-lvbCkrrNcOUsw6WmcWv_cplbi74OeyjAppjCxBH2iOgVUvTkAac_rd0ZogLs4wP3ep6OGQQ6AyLw3xdL__e3Ux21LsAPMNVbsWPIem8xQISS7iuMSc11Xksx17ytu-KtNSPjg95X0VEA6ojEI5lD&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=sC36xrjFLqqysQqirKzLYw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Experience Designer, Gurgaon, Haryana, India
              



 




    Set alert",,,"A/B Testing, Color Theory, Experience Design, Site Maps, Typography, Usability, User Experience (UX), User Experience Design (UED), User Interface Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3779146096/?eBP=CwEAAAGPrKyeR_cXUVAFqLlqH2aTaz4QHz7OwZM7xXkrpvSXv9Ap_4xLgOsZLCoW8acyqQeEfvcoLZFuvUqKYLvG6L7o2k0-qwuT9zgK0Q4LOZUnWxfEw__fpf19GktFTN0w9asnPZcRaTV7ku2VoF7W7PAg4rI7N3uX5ks0-yiHC9_6qV5B6SsQxpgYmxWH7fvqYUyCA0E-ZkaTWgLFbwU8ZX6rL8SKaEVZP9FfdCdOIn67rn1F2NErnI8_dZBEI23RVBMXq5AwHYIN95fupSngDyqVyggvvHhrMN3bFJl0qFySoKMBX00y68u4B_M53k5GGc-RPgbsGQpGPZLyOsptcCpYndiJDV-LSZeyiNBoqQ-o06OeFNzPong&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=9nod8Dwj%2FXb7FGNUQD%2F6Qg%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Delhi, India
              



 




    Set alert",,,"Analytical Skills, Client Requirements, Communication, Figma (Software), User Experience (UX), User Experience Design (UED), User Interface Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3753059857/?eBP=CwEAAAGPrKyeR9M6X1lnwffQ_11qGLCYlzcEWK0ttDp_KX2KxLxv9LTmNDcD8IVVOY1Q08ZLs1xwIhIVeej_7BCYdXYc3A04ZDzAOxN9S2Z6GA9_5GiozG-7k6IQ462vtTka8yk-0aUWxTigmu_pShnJrEyDJ06ECSf0mx5M6yCugswJ2m47NaaEMeR7eggHHg4Nt1unJJP30oRThudnQ2iuNaTk50RVfU4rhMtPavTG5geVKfX7hqZUtphMli4uUviZCcTSlubx-pEFRUW-aDv-Mbjv0R7O1SO37voGpCKrwHXnqlOdmcF1btosKabuGWJz112JFmyrUBch0WdoyhtVb7hmqaDUefhCXZ0hTelXJbWsaN5P3lxNr-cfGm6sRPWgQm1e433r3hAVt5GLNJKqDU-lr30LvTfrcmgCkzzLetI8Tz2RP50aW5kAZZtCxYwGkw6QB9HkMZmFTaFlCKl9&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=iY9yp4krORbboyrLGYSs7A%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Senior User Interface Designer, India
              



 




    Set alert",,,"Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Figma (Software), Fine Art, Information Architecture, Interaction Design, User Experience (UX), User Interface Design, User-centered Design ,"
https://www.linkedin.com/jobs/view/3933390585/?eBP=CwEAAAGPrKyeRwYETQuoIAU8lSAor2K84KGMIsNABJt-rDGPg9hFE5EDN8gPS51NenJr0oKpQDgRmBnW7-rp9qfQ7hXlJXJWcl97i4drO9is7k8ec4CekBRwcbYr3sZIngCSclW5ESxSNf1t4EU3VvjxqIy-ux44J1Jfq1JSjQJmadtBvEPd6at7_51QzE-lERQdJ2FDiMpM9FJkgccxGTtnWVy44JItwzw0HcxWhkPZCUW8-XdnME3JgtFHBvyxeBoRS6sZU7N8lCPKWB3oQEa220se5R3gwYhK0dyafMfRN56BaPt9BfQtL-e2DvBl8rdW1tebPxQqOey272mjred6p5Y_17eoS2AI9bMHc3vHSre874l-2IJ0JLjUeIeOUvPHo7GW_EXSatgkfWV_lsFGA9WpoXccl7z-QKSEzd4&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=zRlEYjAgsP4qwwC2TuNsKA%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Gurugram, Haryana, India
              



 




    Set alert",,,"Business Requirements, Design Standards, Graphic Design, Graphics, Mockups, Presentations, Stakeholder Management, User Experience (UX), User Experience Design (UED), User Interface Design ,"
https://www.linkedin.com/jobs/view/3627619750/?eBP=CwEAAAGPrKyeR_rqbsCTvSzbo7cHvDiDvtJ6lvUhRshaaOJYQOQHCdPhRT_Mp1gc3SRoKHx4xR9B8pEaBnUz2AIdPAb_tLRd61EIVQOwT3Ye5Hfh2F_D07F-FEWqkXV9FjWv5wIaBhsYlDq6RXAhEulwYdm_nVkDTWrLxF7w7uYDi6rckLOF3AXZr82llkMvQUGX_zW_hWEGi9XTX1He4Ma12HcIGHji8V9YiswLbZCvKKuBgtg5uKzEmTIkcbTS0S9N2ra9755pzI6Wa-Xsq5S78kt0kuALSSviKT8FMehKZDKd4-rOYi9u9IG4LGIJ6xoCcTs3S_WMMSTQoLu8rzd2kby0P4CG5ILhOu9z7Vfi1Y7CgESn5qf8jVM&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=2QDVJJfnTHN7Dri%2F65eiow%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Delhi, India
              



 




    Set alert",,,"Communication, Fonts, Mockups, Site Maps, Storyboarding, User Experience (UX), User Interface Design, User Requirements, Wireframing, Written Communication ,"
https://www.linkedin.com/jobs/view/3672222553/?eBP=CwEAAAGPrKyeR4Ju_maPYLd2hNof7q3CoVviTnFmvMn8tuEXwoALk4saMlEL24e0wFFLEgNwy-VadMuQCanzeMk_z11U9QpXeaxv6jPAoDh0dfYGdRQq38MM6RH8ulAqeF-bngDn2eZNcGJYIZsboUVEPKuY-d9oSWvoeUQuK4O7mroFMq_BTQO2Am_YL8BKZV_6NXD60ahptMp4cZ7u1F_QtWLrnyGX2nnOHriyLyPjVWh7KvAJ5T5LB2DEeNd1SXLBx6VovNviM_65xxpe8vh3LvJsNcf6xwpd3C4nEftxxk0ORJsq6oya7_4eRpfAMMCDCldX15-5wW86Q0lmmE9jIQzWA1cLBU3ESoZSKXkfCtPze6I1Pan9kJGTnbr8_fZ02Vxb9O-5eIwJqeI26Jo_demooDysKoyO1W3Ekso7c0ztZ-zTLTRz30gBtgoHxU1n4G11tX-5oNNh1WijZ1Du&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=BLmR6kNOrLaK37RulVGiOw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Lead Designer, Delhi, India
              



 




    Set alert",,,"Critical Thinking, Design Briefs, Graphic Design, Graphics, Mobile Application Design, Typography, User Experience (UX), User Interface Design, Visual Design, Wireframing ,"
